9996,4/4/2012,2012-2013,2012-2013,AIE,RCPT,888298,11CETBT105160,11CETBT105160,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,4513,TUITION FEE,0,128000,0,0,0,0,0,0,0,
9997,4/4/2012,2012-2013,2012-2013,AIE,RCPT,888277,11CETBT105163,11CETBT105163,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,4567,TUITION FEE,0,128000,0,0,0,0,0,0,0,
9998,4/4/2012,2012-2013,2012-2013,AIE,RCPT,885426,11COMMBA101072,11COMMBA101072,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,4537,TUITION FEE,0,128000,0,0,0,0,0,0,0,
9999,4/4/2012,2012-2013,2012-2013,AIE,REVJV,1003025,11CETBT105010,11CETBT105010,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,4484,Adjusted_Amount,0,0,0,0,0,0,-6000,0,0,TUITION FEE
10000,4/4/2012,2012-2013,2012-2013,AIE,RCPT,888476,11CETBT105135,11CETBT105135,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,4503,TUITION FEE,0,128000,0,0,0,0,0,0,0,
10001,4/4/2012,2012-2013,2012-2013,AIE,RCPT,885463,11COMMBA101061,11COMMBA101061,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,4536,TUITION FEE,0,128000,0,0,0,0,0,0,0,
10002,4/4/2012,2012-2013,2012-2013,AIE,RCPT,897606,11CCICMCA102088,11CCICMCA102088,Alumni,General,School of Computing Science & Engineering,MCA,School of Computing Science,MCA 2011-2012 III Sem VI,4528,TUITION FEE,0,92000,0,0,0,0,0,0,0,
10003,4/4/2012,2012-2013,2012-2013,AIE,RCPT,893368,11CETBT102020,11CETBT102020,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,4533,TUITION FEE,0,128000,0,0,0,0,0,0,0,
10004,4/4/2012,2012-2013,2012-2013,AIE,RCPT,884483,11COMMBA101266,11COMMBA101266,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,4532,TUITION FEE,0,128000,0,0,0,0,0,0,0,
10005,4/4/2012,2012-2013,2012-2013,AIE,RCPT,893391,11CETBT102017,11CETBT102017,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,4540,TUITION FEE,0,128000,0,0,0,0,0,0,0,
